ts,endpoint,method,status_code,latency_e2e_ms,inference_ms,tokens_in,tokens_out,used_search,req_bytes,resp_bytes,uid,ram_used_mb,cpu_avg_pct
2026-05-01T05:44:40.539020+00:00,/health,GET,200,15.186,0.0,0,0,False,0,569,anonymous,13543.0,6.7
2026-05-01T05:47:18.356619+00:00,/history,GET,200,1615.533,0.0,0,0,False,0,34,stress-test-user-001,13562.0,7.4
2026-05-01T05:49:34.837783+00:00,/chat,POST,200,48617.666,46483.304,0,0,False,526,9513,stress-test-user-001,13661.7,5.8
2026-05-01T05:50:09.729417+00:00,/chat,POST,200,34889.964,33948.613,0,0,False,133,7707,stress-test-user-001,13545.4,4.6
2026-05-01T05:50:37.131386+00:00,/chat,POST,200,27400.146,26216.02,0,0,False,134,6271,stress-test-user-001,13600.8,4.5
2026-05-01T05:51:05.315711+00:00,/chat,POST,200,28183.1,27573.444,0,0,False,110,6407,stress-test-user-001,13651.7,4.2
2026-05-01T05:51:37.700966+00:00,/chat,POST,200,32382.38,31749.902,0,0,False,141,7725,stress-test-user-001,13640.7,5.2
2026-05-01T05:52:09.460240+00:00,/chat,POST,200,31757.937,31177.964,0,0,False,107,7575,stress-test-user-001,13521.9,6.6
2026-05-01T05:52:32.189173+00:00,/chat,POST,200,22727.578,22196.777,0,0,False,119,5231,stress-test-user-001,13362.4,7.6
2026-05-01T05:53:15.059962+00:00,/chat,POST,200,42868.209,42296.717,0,0,False,117,9945,stress-test-user-001,13262.5,7.1
2026-05-01T05:53:44.422884+00:00,/chat,POST,200,29361.044,28690.475,0,0,False,141,7062,stress-test-user-001,13260.3,6.8
2026-05-01T05:54:05.795216+00:00,/chat,POST,200,21370.816,20799.713,0,0,False,133,4430,stress-test-user-001,13270.5,6.0
2026-05-01T05:54:05.808307+00:00,/chat,POST,422,7.996,0.0,0,0,False,4496,4548,anonymous,13270.5,6.0
2026-05-01T05:54:37.091940+00:00,/chat,POST,200,31280.594,30721.71,0,0,False,96,7494,stress-test-user-001,13316.8,4.9
2026-05-01T05:54:37.099241+00:00,/chat,POST,422,4.013,0.0,0,0,False,4802,4858,anonymous,13316.8,4.9
2026-05-01T05:55:06.349644+00:00,/chat,POST,200,29247.783,28665.544,0,0,False,107,6530,stress-test-user-001,13275.0,3.4
2026-05-01T05:55:49.637487+00:00,/chat,POST,200,43285.852,42606.401,0,0,False,562,10107,stress-test-user-001,13238.2,6.5
2026-05-01T05:56:17.596390+00:00,/chat,POST,200,27953.042,27335.925,0,0,False,134,6970,stress-test-user-001,13328.2,6.3
2026-05-01T05:56:40.007017+00:00,/chat,POST,200,22409.047,21787.775,0,0,False,119,5740,stress-test-user-001,13345.2,6.3
2026-05-01T05:56:40.010812+00:00,/chat,POST,422,2.255,0.0,0,0,False,13961,13962,anonymous,13345.2,6.3
2026-05-01T05:57:08.732417+00:00,/chat,POST,200,28720.324,28157.571,0,0,False,122,7168,stress-test-user-001,13077.1,6.5
2026-05-01T05:57:47.269439+00:00,/chat,POST,200,38535.524,37902.074,0,0,False,133,8325,stress-test-user-001,13080.2,6.4
2026-05-01T05:58:13.432824+00:00,/chat,POST,200,26162.151,25490.392,0,0,False,133,6045,stress-test-user-001,13224.7,6.4
2026-05-01T05:59:08.865716+00:00,/chat,POST,200,55431.782,54807.418,0,0,False,522,11418,stress-test-user-001,13246.0,6.5
2026-05-01T05:59:28.026971+00:00,/chat,POST,200,19158.492,18550.743,0,0,False,122,4301,stress-test-user-001,13287.6,6.3
2026-05-01T05:59:56.838399+00:00,/chat,POST,200,28810.198,28285.059,0,0,False,107,7451,stress-test-user-001,13258.4,6.7
